2023-04-17 11:46:40,716 INFO    StreamThr :1616 [internal.py:wandb_internal():86] W&B internal server running at pid: 1616, started at: 2023-04-17 11:46:40.716342
2023-04-17 11:46:40,717 DEBUG   HandlerThread:1616 [handler.py:handle_request():144] handle_request: status
2023-04-17 11:46:40,719 INFO    WriterThread:1616 [datastore.py:open_for_write():85] open: F:\TB_chemprop\wandb\run-20230417_114635-kr32jscr\run-kr32jscr.wandb
2023-04-17 11:46:40,719 DEBUG   SenderThread:1616 [sender.py:send():375] send: header
2023-04-17 11:46:40,719 DEBUG   SenderThread:1616 [sender.py:send():375] send: run
2023-04-17 11:46:41,056 INFO    SenderThread:1616 [dir_watcher.py:__init__():219] watching files in: F:\TB_chemprop\wandb\run-20230417_114635-kr32jscr\files
2023-04-17 11:46:41,056 INFO    SenderThread:1616 [sender.py:_start_run_threads():1124] run started: kr32jscr with start time 1681746399.765996
2023-04-17 11:46:41,056 DEBUG   SenderThread:1616 [sender.py:send_request():402] send_request: summary_record
2023-04-17 11:46:41,057 INFO    SenderThread:1616 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-04-17 11:46:41,060 DEBUG   HandlerThread:1616 [handler.py:handle_request():144] handle_request: check_version
2023-04-17 11:46:41,060 DEBUG   SenderThread:1616 [sender.py:send_request():402] send_request: check_version
2023-04-17 11:46:41,255 DEBUG   HandlerThread:1616 [handler.py:handle_request():144] handle_request: run_start
2023-04-17 11:46:41,265 DEBUG   HandlerThread:1616 [system_info.py:__init__():31] System info init
2023-04-17 11:46:41,265 DEBUG   HandlerThread:1616 [system_info.py:__init__():46] System info init done
2023-04-17 11:46:41,265 INFO    HandlerThread:1616 [system_monitor.py:start():181] Starting system monitor
2023-04-17 11:46:41,265 INFO    SystemMonitor:1616 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-04-17 11:46:41,265 INFO    HandlerThread:1616 [system_monitor.py:probe():201] Collecting system info
2023-04-17 11:46:41,271 INFO    SystemMonitor:1616 [interfaces.py:start():190] Started cpu monitoring
2023-04-17 11:46:41,271 INFO    SystemMonitor:1616 [interfaces.py:start():190] Started disk monitoring
2023-04-17 11:46:41,271 INFO    SystemMonitor:1616 [interfaces.py:start():190] Started gpu monitoring
2023-04-17 11:46:41,280 INFO    SystemMonitor:1616 [interfaces.py:start():190] Started memory monitoring
2023-04-17 11:46:41,284 DEBUG   HandlerThread:1616 [system_info.py:probe():195] Probing system
2023-04-17 11:46:41,293 INFO    SystemMonitor:1616 [interfaces.py:start():190] Started network monitoring
2023-04-17 11:46:41,293 DEBUG   HandlerThread:1616 [system_info.py:_probe_git():180] Probing git
2023-04-17 11:46:41,360 DEBUG   HandlerThread:1616 [system_info.py:_probe_git():188] Probing git done
